Year,All Women,All Men
1960,37.7,83.3
1961,38.1,82.9
1962,37.9,82
1963,38.3,81.4
1964,38.7,81
1965,39.3,80.7
1966,40.3,80.4
1967,41.1,80.4
1968,41.6,80.1
1969,42.7,79.8
1970,43.3,79.7
1971,43.4,79.1
1972,43.9,78.9
1973,44.7,78.8
1974,45.7,78.7
1975,46.3,77.9
1976,47.3,77.5
1977,48.4,77.7
1978,50,77.9
1979,50.9,77.8
1980,51.5,77.4
1981,52.1,77
1982,52.6,76.6
1983,52.9,76.4
1984,53.6,76.4
1985,54.5,76.3
1986,55.3,76.3
1987,56,76.2
1988,56.6,76.2
1989,57.4,76.4
1990,57.5,76.4
1991,57.4,75.8
1992,57.8,75.8
1993,57.9,75.4
1994,58.8,75.1
1995,58.9,75
1996,59.3,74.9
1997,59.8,75
1998,59.8,74.9
1999,60,74.7
2000,59.9,74.8
2001,59.8,74.4
2002,59.6,74.1
2003,59.5,73.5
2004,59.2,73.3
2005,59.3,73.3
2006,59.4,73.5
2007,59.3,73.2
2008,59.5,73
2009,59.2,72
2010,58.6,71.2
2011,58.1,70.5
2012,57.7,70.2
2013,57.2,69.7
2014,57,69.2
2015,56.7,69.1
2016,56.8,69.2
